NAME:,walk3.csv,,
EXPERIMENT TIME:,03/06/2023 14:37,,
ACTIVITY TYPE:,Walking,,
COUNT OF ACTUAL STEPS:,94,,
,,,
Time [sec],ACC X,ACC Y,ACC Z
30.672,-2.353596,-0.196133,-4.04034
30.743,-2.235916,0.039227,-3.216581
30.814,-2.353596,-0.23536,-4.236473
30.885,-3.138128,-2.471276,-7.727641
30.956,-2.941995,1.294478,-9.767424
31.027,-4.628739,-2.902768,-14.20003
31.098,-3.569621,-4.197247,0.313813
31.169,-5.138685,-5.88399,-9.100572
31.24,-2.902768,-2.353596,-2.824315
31.311,-4.001113,-1.019892,-3.020448
31.382,-3.334261,-0.078453,-4.942552
31.453,-3.255808,-0.353039,-6.00167
31.524,-6.550843,1.882877,-8.943666
31.595,-8.747532,-4.079566,-5.138685
