NAME:,walk_1_2.csv,,
EXPERIMENT TIME:,06/6/2023 13:34,,
ACTIVITY TYPE:,Walking,,
COUNT OF ACTUAL STEPS:,63,,
,,,
Time [sec],ACC X,ACC Y,ACC Z
40.506,-13.034,-5.219,1.885
40.592,-9.346,-0.198,1.1
40.678,-7.032,-4.787,0.002
40.764,-6.836,-1.296,0.63
40.85,-9.66,-3.846,1.61
40.936,-8.719,-0.041,3.768
41.022,-9.464,2.352,-3.489
41.108,-3.619,-3.414,-1.842
41.194,-11.19,-2.708,-0.351
41.28,-8.562,-2.041,0.394
41.366,-9.346,-1.923,-1.488
41.452,-9.778,-4.748,-1.724
41.538,-10.876,-3.728,-1.92
41.624,-8.444,-0.786,-0.979
41.71,-15.27,-6.121,1.493
41.796,-4.443,-1.335,0.316
41.882,-6.875,-1.021,0.708
41.968,-5.541,-4.552,3.689
42.054,-12.994,-0.59,8.279
42.14,-9.66,-2.63,-2.43
42.226,-4.129,-1.61,-1.645
42.312,-9.739,-4.905,-1.332
42.398,-8.287,-3.218,-0.351
42.484,-9.778,0.116,-2.077
42.57,-10.209,-5.336,-2.705
42.656,-10.523,-3.493,0.826
42.742,-9.189,-4.826,0.198
42.828,-10.994,-5.022,0.944
42.914,-7.307,-4.669,1.493
43.0,-5.267,-1.923,4.67
43.086,-7.777,-0.864,6.867
43.172,-10.68,3.176,-0.233
43.258,-7.032,-6.67,-1.41
43.344,-4.835,-3.257,0.002
43.43,-10.131,0.391,0.081
43.516,-6.679,-2.12,0.002
43.602,-9.307,-1.531,-2.351
43.688,-9.503,-3.571,-0.9
43.774,-10.68,-2.512,-1.371
43.86,-7.777,-5.336,1.689
43.946,-12.838,-5.022,0.394
44.032,-6.13,-2.669,0.787
44.118,-3.423,-3.179,4.749
44.204,-7.66,-3.218,5.808
44.29,-10.837,-1.139,2.434
44.376,-19.585,-12.24,-3.528
44.462,-5.502,-2.708,-0.469
44.548,-6.993,-4.473,-0.704
44.634,-11.661,-1.727,-0.586
44.72,-7.934,-0.786,-2.077
44.806,-10.523,-4.826,-1.802
44.892,-12.014,0.116,0.081
44.978,-15.152,-3.061,0.277
45.064,-10.013,-3.767,-0.39
45.15,-6.13,-3.218,-0.351
45.236,-1.972,-5.14,5.651
45.322,-9.15,-6.278,-0.116
45.408,-9.739,2.431,3.964
45.494,-8.405,-1.923,-5.372
45.58,-19.741,-16.398,1.336
45.666,-3.109,-1.021,-1.528
45.752,-6.287,-4.238,-1.371
45.838,-9.268,-0.786,-1.528
45.924,-9.111,-2.904,-2.626
46.01,-11.857,-3.728,-1.685
46.096,-7.817,-4.199,0.316
46.182,-12.249,-4.826,0.002
46.268,-4.835,-3.179,0.944
46.354,-3.423,-2.59,6.514
46.44,-10.68,-1.453,6.435
46.526,-8.954,-0.198,-0.704
46.612,-2.011,-5.572,-0.861
46.698,-8.562,-1.257,-0.233
46.784,-8.287,-0.786,-0.469
46.87,-9.15,-0.707,-1.214
46.956,-9.503,-4.081,-0.665
47.042,-11.504,-2.198,-0.979
47.128,-14.367,-5.925,1.65
47.214,-11.425,-4.277,1.414
47.3,-7.15,-2.394,0.277
47.386,-0.01,-2.59,6.004
47.472,-19.663,-2.983,6.71
