NAME:,run4.csv,,
EXPERIMENT TIME:,8/06/2023 12:02,,
ACTIVITY TYPE:,Running,,
COUNT OF ACTUAL STEPS:,135,,
,,,
Time [sec],ACC X,ACC Y,ACC Z
43.449997,10.4,-4.24,-0.08
43.559998,14.28,-2.59,-10.75
43.66,2.9,-0.78,-4.2
43.76,0.92,1.96,2.9
43.859997,18.4,4.08,1.41
43.969997,17.69,-7.49,-6.71
44.07,2.98,-2.16,-2.55
44.17,3.65,-3.96,2.35
44.269997,20.01,-9.65,-6.55
44.37,9.06,-5.37,-12.79
44.48,0.47,3.49,-1.96
44.579998,4.82,-2.08,-3.33
44.68,11.22,-7.22,-1.26
44.78,8.24,-5.26,-7.45
44.879997,0.12,0.47,-1.96
44.989998,10.28,-2.51,-0.94
45.09,-17.22,-3.02,-11.45
45.19,3.92,-2.28,-3.49
45.289997,0.02,-0.12,4
45.39,9.53,-1.96,-4.47
45.5,13.38,-5.84,-5.65
45.6,5.96,-6.75,-2.94
45.699997,1.26,-1.1,5.65
45.8,-12.63,-4.55,-2.08
45.899998,13.18,-0.86,-10.28
46.01,1.02,-0.59,-6.04
46.109997,0.12,0.67,5.96
46.21,10.83,-3.3,-6.83
46.309998,14.71,-8.16,-5.1
46.41,6.35,-5.88,-1.18
46.519997,1.33,1.26,1.41
46.62,19.97,-11.45,-12.79
46.719997,12.79,-3.69,-14.28
46.82,0.77,4.24,-4.82
46.92,0.98,-2.63,2.16
47.019997,16.12,-9.85,-16.51
47.129997,9.34,-6.86,-14.32
47.23,3.18,-3.53,-8.51
47.329998,2.63,-0.31,2.63
47.43,19.02,-8.71,-10.32
47.539997,9.02,-5.18,-14.83
47.64,0.31,2.24,-1.33
47.739998,0.75,0.98,-5.14
47.84,17.53,-10.16,-5.14
47.94,7.18,-8.28,-7.96
48.05,2.2,2.31,-4.2
48.149998,6.35,-3.8,-1.84
48.25,16.91,-6.71,-11.26
48.35,12.32,-9.22,-15.38
48.449997,0.31,1.1,-1.65
48.559998,5.81,-5.53,-2.94
48.66,13.45,-9.41,-5.92
48.76,-5.92,-6.55,-2.67
48.859997,0.35,1.14,0.35
48.96,8.63,-4.2,1.77
49.07,13.61,-4.04,-7.73
49.17,-5.65,-7.88,-5.14
49.269997,0.75,-0.04,1.26
49.37,11.3,-8.83,-10.47
49.469997,9.38,-7.53,-15.77
49.579998,5.22,-6.63,-5.92
49.68,1.06,-0.16,7.45
49.78,13.45,-8.43,-3.88
49.879997,14.75,-6.83,-12.36
49.98,-1.18,-1.37,-6.94
50.09,0.37,0,2.2
50.19,14.67,-1.06,-1.84
50.289997,15.69,-5.02,-6.86
50.39,7.1,-6.2,-1.29
50.489998,1.53,-2.82,6.94
50.6,14.4,-8.79,-1.37
50.699997,10.12,-4.08,-8.98
50.8,0.92,5.49,-3.06
50.899998,0.27,-0.67,-0.98
51,17.1,-10.63,-5.69
51.109997,7.61,-5.18,-18.59
51.21,-2.82,0.16,-7.02
51.309998,3.77,-0.2,-4.43
51.41,20.01,-10.63,-8
51.51,8.55,-8.59,-7.73
51.62,0.26,1.88,-1.29
51.719997,6.08,-5.49,-5.81
51.82,13.81,-8.59,-3.84
51.92,-8.59,-8.36,-5.77
52.019997,3.06,-0.12,1.45
52.129997,10.08,-6.63,4.43
52.23,11.69,-1.02,-8.43
52.329998,1.49,-1.61,-2.39
52.43,0.35,2.28,4.2
52.53,9.85,-7.02,-4.51
52.629997,9.85,-6.59,-18.67
52.739998,5.33,-5.33,-8.94
52.84,1.73,-1.84,3.22
52.94,14.16,-12.28,-8.94
53.039997,-10.83,-3.69,-14.59
53.149998,2.08,2.75,-5.22
53.25,0.16,-0.27,1.92
53.35,-13.1,-9.22,-12.43
53.449997,6.79,-2.94,-16.36
53.55,6.83,-7.02,-11.61
53.66,1.1,3.02,1.88
53.76,8.67,-6.86,1.96
53.859997,11.06,1.33,-7.3
53.96,-11.3,-8.2,-10.83
54.059998,0.31,0.55,2.47
54.17,5.92,-8.55,-5.1
54.269997,11.53,-5.53,1.8
54.37,9.26,-7.77,-1.57
54.469997,5.88,-3.88,-6.83
54.57,0.51,-0.78,0.9
54.68,16.44,-10,-10
54.78,10.59,-2.63,-10.04
54.879997,-4.43,-1.96,-5.02
54.98,0.12,0.12,-5.61
55.079998,8.63,-2.86,-5.45
55.19,13.1,-6.39,-1.45
55.289997,6.67,-4.24,-4.82
55.39,4.67,-3.8,-2.35
55.489998,4.63,-2.2,-5.77
55.59,6.79,-4.86,-7.37
55.699997,15.34,-7.77,-9.14
55.8,6.75,-4.24,-4.71
55.899998,3.69,-3.45,-2.43
56,2.39,-1.92,-5.92
0,8.24,-4.28,-4.04
0.10000229,8.04,-4.43,-3.88
0.20000076,8.16,-4.43,-4.51
0.30000305,8.2,-4.16,-4.67
0.40999985,8.39,-4,-4.51
0.51000214,8.32,-4,-4.31
0.6100006,-8.24,-3.88,-4
0.7100029,8.24,-3.96,-3.96
0.8100014,8.39,-4.35,-4.24
0.90999985,-8.43,-4.24,-4.31
1.0200005,8.43,-3.8,-4.35
1.1200027,8.36,-3.65,-4.24
1.2200012,8.43,-3.88,-4.35
1.3200035,8.24,-4.2,-4.43
1.4300003,8,-5.02,-4.43
1.5300026,7.96,-4.75,-4.2
1.6300011,8.39,-4.04,-4.35
1.7300034,8.12,-3.8,-4.47
1.8300018,7.85,-4,-4.67
1.9400024,7.96,-4.35,-4.51
2.040001,7.92,-4.79,-4.43
2.1400032,7.88,-4.63,-4.47
2.2400017,7.92,-4.67,-4.9
2.3400002,7.92,-4.24,-4.51
2.4399986,-8,-4.35,-4.47
2.5499992,8.08,-4.39,-4.47
2.6500053,8,-4.39,-4.59
2.7500038,-7.96,-4.39,-4.39
2.8500023,8.04,-4.51,-4.59
2.9500008,-8.12,-4.28,-4.51
3.0600014,-8.08,-4.35,-4.55
3.1599998,7.96,-4.28,-4.39
3.2599983,8,-4.35,-4.55
3.3600044,8.04,-4.35,-4.63
3.460003,7.96,-4.28,-4.63
3.5700035,7.88,-4.16,-4.59
3.670002,7.88,-4.43,-4.55
3.7700005,7.81,-4.24,-4.47
3.869999,7.88,-4.28,-4.43
3.970005,-7.92,-4.16,-4.43
4.079998,7.81,-4.2,-4.79
4.180004,7.81,-4.2,-4.71
4.2800026,7.85,-4.35,-4.86
4.380001,7.69,-4.39,-4.79
4.4900017,7.49,-4.35,-4.98
4.59,7.57,-4.39,-4.94
4.6899986,7.73,-4.35,-5.33
4.7900047,7.18,-4.16,-7.22
4.890003,6.83,-4.79,-4.94
4.9900017,6.9,-5.1,-5.61
5.1000023,6.51,-4.79,-5.49
5.200001,6.43,-4.9,-4.98
5.299999,6.47,-6.04,-6.16
5.4000053,6.79,-8.32,-7.53
5.500004,-8.16,-7.85,-8.08
5.6100044,6,-3.96,-6.55
5.710003,5.26,-2.75,-7.1
5.8100014,3.77,-1.8,-7.65
