,walk_5_1.csv,,
EXPERIMENT TIME:,05/06/2023 20:34,,
ACTIVITY TYPE:,Walking,,
COUNT OF ACTUAL STEPS:,98,,
,,,
Time [sec],ACC X,ACC Y,ACC Z
20.336,7.53,-3.69,-4.59
20.377,7.18,-3.22,-5.18
20.418,9.34,-3.65,-4.86
20.459,10.67,-6.39,-6.94
20.5,8.39,-6.28,-14.08
20.541,4.94,-5.1,-14.4
20.582,2.75,-7.61,-10.83
20.623,2.9,-6.71,-8.63
20.664,6,-5.14,-7.02
20.705,5.22,-2.79,-5.45
20.746,4.67,-2.51,-4.75
20.787,4.08,-1.14,-3.02
20.828,2.9,-1.26,-2.16
20.869,4.98,-3.77,-2.75
20.91,7.73,-6.75,-7.37
20.951,8.83,-10.08,-13.02
20.992,8.08,-14.16,-5.06
21.033,4,-8.24,-15.61
21.074,2.67,-7.02,-16.08
21.115,3.02,-3.1,-8.43
21.156,4.47,-0.9,-6.35
21.197,1.69,-1.14,-4.98
21.238,4.2,-4.55,-5.92
21.279,6.16,-4.75,-6.98
21.32,5.57,-4.9,-6.28
21.361,6.04,-4.16,-4.67
21.402,6.79,-3.02,-4.28
21.443,6.55,-2.67,-4.82
21.484,8.24,-4.75,-6.47
21.525,10.98,-6.71,-5.81
21.566,9.34,-6.32,-9.92
21.607,7.37,-4.04,-13.53
21.648,5.53,-7.69,-13.38
21.689,2.79,-6.2,-9.92
21.73,3.41,-5.06,-5.96
21.771,5.14,-3.45,-5.26
21.812,4.04,-2.98,-5.02
21.853,5.84,-2.39,-5.1
21.894,3.53,-1.1,-3.41
21.935,3.41,-2.9,-1.84
21.976,5.37,-5.77,-4
22.017,6.08,-7.57,-8.79
22.058,8.71,-9.92,-10.94
22.099,9.61,-13.1,-5.81
22.14,4.67,-7.06,-14.4
22.181,3.41,-5.96,-11.38
22.222,3.26,-1.49,-6.63
22.263,3.84,0.2,-5.06
22.304,3.06,-4.24,-6.47
22.345,6.08,-5.57,-6.35
22.386,6.9,-5.77,-9.14
22.427,6,-5.22,-5.22
22.468,4.55,-2.94,-4.59
22.509,4.59,-2.2,-3.84
22.55,6.24,-4.47,-6.08
22.591,8.71,-6.86,-6.59
22.632,8.47,-5.88,-5.22
22.673,8.63,-5.26,-5.73
22.714,7.02,-3.92,-13.57
22.755,5.69,-5.33,-14.83
22.796,6.32,-9.1,-10.24
22.837,3.53,-7.57,-8.32
22.878,3.92,-4.67,-5.96
22.919,4,-2.31,-5.06
22.96,5.53,-2.67,-4.98
23.001,4.82,-1.88,-5.14
23.042,2.16,-2.47,-4.71
23.083,3.77,-4.39,-4.47
23.28,5.41,-6.75,-5.22
23.471,8.32,-8.9,-7.26
23.534,8.79,-6.59,-6.35
23.575,5.33,-4.08,-5.61
23.616,5.1,-2.79,-4.86
23.657,6.55,-3.06,-4
23.698,7.06,-2.86,-4.82
23.739,6.39,-3.96,-5.22
23.78,7.34,-6.24,-6.16
23.821,8.43,-7.34,-5.33
23.862,8.16,-6.16,-8.75
23.903,9.92,-5.33,-13.53
23.944,6.67,-4.9,-15.3
23.985,5.45,-6.79,-8.94
24.026,4.2,-3.77,-5.77
24.067,3.41,-2.35,-3.61
24.108,3.37,-1.84,-6
24.149,7.88,-5.3,-5.06
24.19,4.86,-3.06,-7.92
24.231,0.63,-2.35,-5.41
24.272,2.35,-5.1,-2.43
24.313,4.47,-7.49,-5.45
24.354,5.84,-7.45,-7.41
24.395,10.28,-8.63,-5.57
24.436,9.57,-9.14,-4.2
24.477,7.53,-6.63,-12.79
24.518,2.35,-7.49,-16.71
24.559,2.82,-3.96,-7.34
24.6,4.39,0.16,-4.51
24.641,2.2,-0.94,-5.92
24.682,3.37,-4.39,-7.81
24.723,8.55,-6.2,-4.94
24.764,5.57,-4.24,-5.84
24.805,5.84,-2.39,-4.98
24.846,6.83,-3.1,-3.22
24.887,6.59,-3.53,-4.71
24.928,7.3,-5.1,-6.32
24.969,9.69,-6.79,-5.73
25.01,9.06,-6.63,-6.79
25.051,8.98,-4.86,-12.87
25.092,5.45,-3.41,-13.45
25.133,5.53,-8.32,-8.79
25.174,4.86,-5.88,-7.88
25.215,4.39,-2.98,-5.14
25.256,3.88,-1.33,-5.65
25.297,6.08,-4.24,-4.35
25.338,4.28,-2.35,-5.77
25.379,1.61,-3.18,-4.16
25.42,3.61,-5.61,-1.61
25.461,5.18,-6.9,-6.04
25.502,5.61,-6.79,-7.26
25.543,11.1,-10.55,-6.47
