NAME:,run_2_1,,
EXPERIMENT TIME:,06/06/2023 12:45,,
ACTIVITY TYPE:,Running,,
COUNT OF ACTUAL STEPS:,170,,
,,,
Time [sec],ACC X,ACC Y,ACC Z
44.689,-1.61,-20.01,12.94
44.756,20.01,-20.01,20.01
44.823,-6.28,-6.28,12.08
44.89,-2.98,-0.98,-4.71
44.957,-1.96,-8.36,0.9
45.024,-2,1.65,-5.22
45.091,-7.69,-20.01,20.01
45.158,-9.61,-5.14,5.84
45.225,-1.65,3.77,0.55
45.292,-2.59,-6.12,12.24
45.359,4.04,-14.95,-3.65
45.426,8.12,13.1,-16.2
45.493,-9.57,-1.41,13.73
45.56,-2.67,-2.47,0.16
45.627,-1.65,-3.41,-0.98
45.694,-1.18,-1.84,-3.49
45.761,-7.81,-1.77,3.57
45.828,-1.92,-14.71,18.04
45.895,-4.08,-6.94,9.06
45.962,-2.04,4.31,12.63
46.029,11.45,-7.02,4.51
46.096,-0.47,-11.38,2.51
46.163,-19.97,-20.01,20.01
46.23,-10.71,-12.87,17.69
46.297,-5.02,0.04,-3.1
46.364,-1.49,-0.94,-2.75
46.431,-2.43,3.18,-3.53
46.498,-12.94,-17.22,20.01
46.565,-8.47,-1.1,4.31
46.632,-4.2,4.2,2.86
46.699,-2.43,-8.87,12.51
46.766,5.06,-18.95,3.77
46.833,12.94,8.55,-15.06
46.9,-20.01,7.22,20.01
46.967,-5.88,-4.71,6.71
47.034,-1.8,0.71,-1.88
47.101,-0.94,-6.35,-1.18
47.168,0.12,6.59,-9.85
47.235,12.47,20.01,20.01
47.302,-7.85,-8.12,10.67
47.369,-3.06,3.18,5.26
47.436,-7.96,-12.12,16.99
47.503,1.88,-15.61,5.41
47.57,11.3,12.63,-9.02
47.637,-20.01,-11.34,20.01
47.704,-5.1,0.98,3.26
47.771,-2.04,1.49,-0.43
47.838,-1.65,-7.45,3.37
47.905,-3.33,6.43,-10.2
47.972,-20.01,-16.63,20.01
48.039,-20.01,-5.18,-1.22
48.106,-2.67,11.85,-5.22
48.173,-3.65,-8.08,14.47
48.24,2.28,-9.38,1.41
48.307,-5.1,-20.01,20.01
48.374,-10.43,-5.22,15.57
48.441,-4.82,-4,2.51
48.508,-1.88,-3.02,-0.98
48.575,-1.41,1.88,-6.39
48.642,-8.79,-20.01,20.01
48.709,-6.63,-3.14,13.85
48.776,-5.45,-0.82,0.2
48.843,-2.12,4.98,3.26
48.91,-1.61,-8.04,5.45
48.977,12,1.02,-10.28
49.044,-20.01,-3.22,20.01
49.111,-8.32,-6,13.61
49.178,-2.67,2.35,-1.49
49.245,-0.12,-2.12,-1.1
