"NAME:","run_5_3.csv"
"EXPERIMENT TIME:","08/06/2023 10:51"
"ACTIVITY TYPE:","Running"
"COUNT OF ACTUAL STEPS:","147"
""
"Time [sec]","ACC X","ACC Y","ACC Z"
"33.098","-3.45","-0.71","-5.02"
"33.108","-4.71","1.65","-8.12"
"33.153","-2.2","6.59","-18.87"
"33.219","-3.3","-0.24","-13.61"
"33.318","4.28","-0.16","-8.0"
"33.43","-0.08","-0.63","-10.24"
"33.537","-5.81","-1.96","-15.1"
"33.638","-3.1","-0.12","-10.2"
"33.737","-3.14","-0.12","-6.2"
"33.855","-8.39","-0.24","-12.36"
"33.937","-6.83","-0.55","-16.2"
"34.038","0.82","-3.8","-6.04"
"34.128","2.9","-1.61","-9.38"
"34.234","0.55","-2.75","-15.65"
"34.338","-2.98","0.2","-19.14"
"34.448","-5.1","0.04","-5.77"
"34.551","-6.0","2.16","-6.83"
"34.65","-7.18","-2.79","-13.38"
"34.757","-5.22","-3.26","-13.3"
"34.854","2.86","-3.22","-5.53"
"34.95","2.94","-3.26","-6.32"
"35.058","-0.27","-6.75","-12.4"
"35.155","-4.0","-1.14","-8.24"
"35.267","-5.84","0.67","-6.28"
"35.758","-8.32","2.71","-9.3"
"36.258","-3.69","0.59","-18.63"
"36.763","-3.1","-5.18","-11.34"
"36.779","3.65","-3.65","-5.26"
"36.791","2.82","-1.92","-13.26"
"36.803","-2.98","-2.82","-20.01"
"36.815","-4.75","-0.47","-1.88"
"36.825","-4.63","2.59","-8.36"
"36.853","-8.36","0.08","-13.65"
"36.858","-0.71","-1.26","-16.16"
"36.862","1.69","-5.1","-7.85"
"36.866","4.47","-4.16","-6.51"
"36.871","2.82","-5.88","-10.0"
"36.877","-2.9","1.8","-16.44"
"36.883","-4.82","2.67","-4.28"
"36.897","-6.16","3.41","-7.49"
"36.987","-2.04","0.78","-19.5"
"37.071","-1.69","-4.55","-15.42"
"37.244","4.24","-3.77","-3.49"
"37.388","3.22","1.18","-11.53"
"37.468","-2.47","0.55","-20.01"
"37.484","-2.28","1.49","-5.84"
"37.632","-2.35","2.67","-4.59"
"37.679","-5.49","4.63","-13.14"
"37.769","-4.67","1.73","-20.01"
"37.864","0.82","-2.86","-6.08"
"37.969","3.73","-2.08","-5.41"
"38.071","1.37","-1.84","-16.32"
"38.187","-1.33","2.51","-13.85"
"38.286","-2.28","2.59","-3.77"
"38.387","-4.75","4.82","-3.88"
"38.486","-2.79","2.35","-20.01"
"38.589","-0.39","-3.45","-12.2"
"38.697","3.18","-3.22","-5.45"
"38.796","2.12","1.41","-13.3"
"38.897","1.02","6.39","-20.01"
"39.002","-2.86","0.35","-6.28"
"39.097","-3.06","0.59","-3.06"
"39.203","-6.9","1.45","-10.43"
"39.309","-3.88","2.12","-20.01"
"39.408","0.35","-0.98","-8.2"
"39.507","1.02","-2.71","-6.39"
"39.601","1.77","-0.43","-19.65"
"39.696","-3.41","3.65","-20.01"
"39.8","-3.06","1.41","-3.06"
"39.908","-3.57","2.08","-4.24"
"39.986","-5.69","1.22","-13.65"
"40.112","-1.57","0.12","-14.4"
"40.215","1.73","-2.24","-7.69"
"40.324","1.77","-1.77","-6.79"
"40.401","-2.82","-6.98","-16.04"
"40.503","-1.53","2.82","-12.2"
"40.63","-3.69","0.63","-5.3"
"40.722","-5.06","2.39","-6.28"
"40.818","-2.63","-0.35","-19.97"
"40.909","-2.51","-2.82","-9.89"
"41.01","0.47","-3.02","-4.35"
"41.19","1.14","0.75","-18.08"
"41.212","-2.39","0.78","-18.83"
"41.301","-3.33","2.31","-5.53"
"41.404","-4.55","1.53","-3.8"
"41.509","-5.49","1.57","-13.06"
"41.624","-2.12","0.9","-17.93"
"41.729","0.43","-3.26","-6.9"
"42.267","2.71","-3.22","-5.69"
"42.275","0.75","-4.08","-11.18"
"42.284","-5.73","-3.33","-15.69"
"42.293","-2.31","2.86","-5.96"
"42.302","-4.04","0.16","-4.51"
"42.317","-5.22","-5.1","-16.12"
"42.424","-6.32","-3.69","-14.12"
"42.525","2.59","-2.0","-4.2"
"42.63","2.67","-1.26","-5.92"
"42.729","-1.41","-5.61","-10.28"
"42.834","-5.02","-0.35","-14.67"
"42.928","-2.82","-0.31","-2.86"
"43.033","-6.24","0.12","-6.0"
"43.139","-7.22","-0.82","-20.01"
"43.236","-1.73","-1.8","-8.98"
"43.328","1.22","-0.67","-7.14"
"43.425","1.37","2.9","-16.75"
"43.548","-1.96","0.31","-20.01"
"43.627","-3.96","-1.02","-6.32"
"43.729","-4.59","2.0","-3.96"
"43.832","-2.04","6.16","-15.14"
"43.937","-0.67","5.06","-18.32"
"44.036","-0.71","-0.67","-10.47"
"44.138","2.2","-0.39","-6.75"
"44.24","4.39","4.79","-17.46"
"44.343","-0.12","0.63","-8.94"
"44.449","-2.82","1.61","-9.02"
"44.558","-4.82","3.06","-5.33"
"44.64","2.24","4.28","-14.44"
"44.744","-3.14","0.59","-11.57"
"44.877","2.39","-2.31","-5.65"
"44.983","3.53","1.41","-10.79"
"45.099","-5.73","-1.18","-16.48"
"45.144","-3.45","-0.27","-9.92"
"45.246","0.35","3.73","-12.4"
"45.352","-5.02","1.69","-5.69"
"45.46","-3.8","1.1","-17.42"
"45.562","0.27","0.39","-10.71"
"45.667","1.14","-3.26","-6.9"
"45.77","-0.71","1.69","-17.89"
"45.848","-2.75","3.26","-20.01"
"45.956","-3.02","-0.27","-4.98"
"46.077","-3.1","1.65","-4.04"
"46.157","-4.24","-4.0","-10.24"
"46.259","-3.65","-2.24","-19.89"
"46.365","1.33","-3.73","-6.51"
"46.464","1.41","-1.73","-3.1"
"46.576","-1.33","-5.49","-13.22"
"46.671","-0.2","-2.55","-15.97"
"46.77","-3.92","-0.94","-2.75"
"46.866","-5.14","3.14","-5.33"
"46.961","-4.16","-0.67","-20.01"
"47.074","-4.35","-1.49","-12.32"
"47.17","0.9","-1.37","-5.02"
"47.265","0.59","-1.84","-7.57"
"48.251","-6.08","-4.71","-17.93"
"48.753","-3.3","-0.39","-10.94"
"49.253","-2.12","1.18","-4.04"
"49.276","-4.79","4.67","-5.22"
"49.283","-3.14","1.92","-20.01"
"49.288","-2.51","-2.67","-12.98"
"49.294","1.26","-1.92","-6.51"
"49.31","-0.39","-2.51","-5.61"
"49.315","-6.32","-2.28","-20.01"
"49.319","-2.79","-0.71","-10.63"
"49.324","-3.06","0.63","-3.73"
"49.33","-5.3","3.69","-7.18"
"49.343","-1.33","3.45","-6.04"
"49.395","-7.85","4.24","-20.01"
"49.504","-0.82","-2.39","-10.59"
"49.606","2.94","-1.49","-4.51"
"49.704","1.41","1.37","-6.9"
"49.809","-2.39","2.08","-20.01"
"49.912","-1.57","0.71","-10.63"
"50.002","-3.33","0.71","-2.24"
"50.11","-5.06","1.77","-4.9"
"50.197","-2.08","13.06","-20.01"
"50.315","-1.18","0.67","-12.83"
"50.439","3.26","-1.53","-2.2"
"50.499","2.2","0.12","-6.79"
"50.601","-0.08","3.84","-20.01"
"50.704","-4.04","-0.12","-11.65"
"50.804","-2.12","1.69","-6.08"
"50.906","-7.02","1.61","-3.18"
"51.006","-5.3","6.79","-20.01"
"51.107","-5.26","0.9","-9.92"
"51.224","3.41","-1.8","-4.51"
"51.323","-0.71","-0.35","-13.57"
"51.405","-1.29","1.84","-19.26"
"51.527","-4.71","1.06","-5.37"
"51.606","-2.98","1.29","-4.86"
"51.748","-4.79","5.14","-14.2"
"51.812","-4.75","3.65","-17.89"
"51.924","-2.12","-2.35","-5.33"
"52.03","3.14","-3.37","-4.43"
"52.124","-2.0","-5.26","-12.08"
"52.232","-6.59","0.24","-20.01"
"52.331","-4.43","0.55","-2.86"
"52.437","-3.69","2.75","0.31"
"52.526","-3.61","-0.08","-11.02"
"52.643","-4.39","-0.08","-19.65"
"52.728","0.39","-3.41","-5.3"
"52.829","1.33","-3.14","-6.12"
"52.929","-0.55","-5.33","-9.14"
"53.063","-7.73","-0.16","-16.16"
"53.129","-3.49","1.18","-2.43"
"53.249","-5.84","1.41","-4.43"
"53.329","-9.49","-2.59","-13.22"
"53.436","-5.61","-1.53","-12.16"
"53.54","2.67","-2.16","-8.59"
"53.644","-0.39","-1.1","-14.59"
"53.731","-0.94","-1.06","-17.38"
"53.844","-5.18","0.47","-7.26"
"53.945","-3.3","1.92","-6.24"
"54.041","-3.18","4.08","-9.69"
"54.145","-3.92","4.08","-20.01"
"54.24","0.39","-1.88","-8.43"
"54.759","1.53","-3.06","-6.79"
"54.768","-1.53","-0.82","-14.32"
"54.802","-4.98","3.49","-15.77"
"54.806","-3.88","1.53","-6.39"
"54.811","-2.28","1.26","-4.86"
"54.857","-4.08","-0.98","-11.96"
"54.955","-5.45","-0.82","-17.5"
"55.065","2.2","-0.71","-6.51"
"55.208","3.73","-1.14","-5.14"
"55.25","-0.59","-2.59","-14.04"
"55.355","-5.61","-1.69","-15.22"
"55.457","-3.49","-0.55","-3.92"
"55.569","-1.49","2.0","-0.31"
