"NAME:","walk_1_1.csv","",""
"EXPERIMENT TIME:","08/06/2023 12:25","",""
"ACTIVITY TYPE:","Walking","",""
"COUNT OF ACTUAL STEPS: ","108","",""
"","","",""
"Time [sec]","ACC X","ACC Y","ACC Z"
"41.01999","3.33","5.33","1.80"
"41.091003","7.41","7.02","3.26"
"41.161987","6.16","9.41","4.16"
"41.233","7.57","7.53","7.10"
"41.303986","9.06","4.98","3.26"
"41.375","5.84","6.32","2.90"
"41.445984","4.86","4.16","1.02"
"41.517","4.12","4.75","-0.94"
"41.587982","4.59","6.75","-0.43"
"41.658997","6.94","8.79","1.22"
"41.72998","9.81","9.92","5.53"
"41.800995","3.61","7.10","1.37"
"41.87198","9.18","4.59","-0.16"
"41.942993","3.53","5.18","1.96"
"42.013977","4.90","5.06","2.79"
"42.08499","3.69","5.41","0.90"
"42.155975","7.73","7.49","3.41"
"42.22699","5.73","9.77","3.49"
"42.297974","8.36","7.10","7.61"
"42.368988","9.18","2.67","3.73"
"42.440002","7.41","6.67","3.53"
"42.510986","5.88","5.06","1.69"
"42.582","4.47","4.71","-1.14"
"42.652985","4.31","4.51","-1.14"
"42.724","7.85","8.12","-0.82"
"42.794983","5.81","12.12","-1.33"
"42.865997","7.81","0.82","-2.24"
"42.93698","8.36","5.41","2.63"
"43.007996","4.59","5.18","1.37"
"43.07898","4.63","4.39","2.51"
"43.149994","4.24","5.22","1.18"
"43.220978","6.71","6.98","2.55"
"43.291992","5.37","9.61","3.30"
"43.362976","8.59","7.53","6.83"
"43.43399","7.69","3.14","4.47"
"43.504974","6.63","5.65","3.61"
"43.57599","5.65","4.08","0.86"
"43.647003","4.59","4.00","-2.16"
"43.717987","4.98","5.81","-0.16"
"43.789","7.30","10.16","-0.82"
"43.859985","4.20","10.12","-2.51"
"43.931","4.94","2.08","-3.80"
"44.001984","7.77","5.84","0.75"
"44.072998","5.10","6.08","2.31"
"44.143982","5.30","4.94","2.24"
"44.214996","4.39","5.02","1.06"
"44.28598","5.22","5.73","1.80"
"44.356995","4.79","8.59","3.41"
"44.42798","6.94","9.06","3.49"
"44.498993","7.77","5.30","7.37"
"44.569977","9.65","6.83","4.31"
"44.64099","5.14","5.33","2.59"
"44.711975","5.45","3.80","-2.31"
"44.78299","3.77","4.20","-1.45"
"44.854004","7.06","7.65","-0.31"
"44.924988","8.87","11.18","-2.67"
"44.996002","16.40","9.96","4.20"
"45.066986","5.18","6.00","3.10"
"45.776978","3.96","4.47","-1.02"
"45.847992","4.67","5.18","-1.61"
