NAME:,walk_4_2,,
EXPERIMENT TIME:,30/05/2023 13:05,,
ACTIVITY TYPE:,Walking,,
COUNT OF ACTUAL STEPS:,100,,
,,,
Time [sec],ACC X,ACC Y,ACC Z
46.164,-0.35,-11.22,-2.79
46.231,-1.26,-13.34,-1.37
46.298,0.24,-11.92,0.12
46.365,-5.88,-8.67,-0.27
46.432,1.49,-9.38,-3.69
46.499,-0.47,-8.87,1.37
46.566,-1.41,-6.75,-2.28
46.633,1.45,-9.45,-1.1
46.7,-2.08,-8.67,0.94
46.767,4.59,-11.81,-2.12
46.834,-1.84,-9.06,0.71
46.901,-0.31,-11.3,-3.02
46.968,-3.61,-8.08,-2.86
47.035,-2.79,-9.96,-0.9
47.102,0.08,-9.49,-1.29
47.169,0.78,-9.26,-1.41
47.236,1.33,-10,-1.41
47.303,0.43,-10.04,-0.67
47.37,2.47,-10.55,-2.59
47.437,-1.8,-10,-0.71
47.504,0.94,-12.94,-1.26
47.571,0.71,-13.38,2.35
47.638,-3.1,-9.53,-2.12
47.705,-1.29,-9.02,1.37
47.772,0.63,-7.73,-1.61
47.839,-0.78,-7.41,-1.84
47.906,-1.8,-8.67,-0.04
47.973,1.8,-11.81,-0.16
48.04,1.29,-11.34,0.63
48.107,5.1,-11.65,-3.1
48.174,-4.12,-10.51,0.16
48.241,-3.8,-3.1,-3.69
48.308,-3.84,-10.32,0.27
48.375,0.43,-10.36,-2.28
48.442,1.37,-10.12,-2.16
48.509,-0.67,-9.53,-0.75
48.576,0.35,-8.51,-0.24
48.643,0.98,-10.32,-1.22
48.71,-1.1,-10.75,-3.65
48.777,-0.04,-12.4,-6.39
48.844,4.39,-14.75,-1.65
48.911,-7.73,-8.43,1.53
48.978,-4.16,-8.55,-1.1
49.045,1.84,-10.51,0.31
49.112,0.86,-7.1,-1.77
49.179,-0.94,-8.04,0.12
49.246,0.78,-9.1,0.27
49.313,4.71,-13.42,0.47
49.38,0.82,-13.34,2.67
49.447,1.06,-11.38,-5.45
49.514,-8.16,-6.35,-0.47
49.581,1.1,-11.22,0.2
49.648,3.53,-9.61,-2.39
