NAME:,walk1_4.csv,,
EXPERIMENT TIME:,06/6/2023 13:21,,
ACTIVITY TYPE:,Walking,,
COUNT OF ACTUAL STEPS:,181,,
,,,
Time [sec],ACC X,ACC Y,ACC Z
59.34,0.161,11.622,-3.335
59.426,0.044,8.915,0.038
59.512,0.005,9.346,1.372
59.598,0.397,8.209,2.274
59.684,0.554,8.287,3.765
59.77,0.711,8.993,2.47
59.856,1.064,10.759,3.529
59.942,2.79,9.503,0.274
60.028,-2.192,8.013,-1.295
60.114,1.534,10.013,-1.256
60.2,-2.035,8.601,-0.079
60.286,-0.937,9.856,-0.001
60.372,-0.623,9.974,0.431
60.458,-1.878,9.464,0.862
60.544,-1.957,10.68,0.94
60.63,0.397,14.289,-0.982
60.716,-1.447,9.19,-2.472
60.802,-0.662,10.641,-0.825
60.888,-0.349,8.797,1.607
60.974,0.907,7.777,2.51
61.06,0.671,7.974,2.941
61.146,0.907,9.621,2.745
61.232,1.456,12.72,5.295
61.318,4.163,12.445,-1.57
61.404,-0.937,9.7,-0.079
61.49,-0.152,8.954,0.195
61.576,-1.094,9.033,1.019
61.662,-1.996,8.797,0.744
61.748,-2.231,8.68,1.49
61.834,-0.819,10.837,-0.707
61.92,-0.27,10.366,-1.217
62.006,-4.35,12.759,-4.198
62.092,-0.349,11.857,0.901
62.178,-0.466,7.189,0.548
62.264,0.318,7.346,1.764
62.35,0.671,6.404,4.314
62.436,-0.27,12.955,3.843
62.522,-0.702,10.955,4.863
62.608,3.888,9.856,-0.119
62.694,-3.055,9.621,-0.825
62.78,1.574,7.974,1.097
62.866,-0.466,8.405,0.705
62.952,-1.918,8.366,1.647
63.038,-1.329,9.935,1.372
63.124,-1.525,11.739,1.686
63.21,-1.839,13.975,-3.139
63.296,0.789,13.191,-0.079
63.382,-2.31,7.032,0.627
63.468,-0.309,6.797,0.901
63.554,0.828,7.66,2.666
63.64,-1.251,6.954,2.0
63.726,0.161,14.917,2.784
63.812,-1.015,14.721,-0.236
63.898,2.162,6.561,-1.766
63.984,0.397,10.523,0.117
64.07,-0.819,9.856,0.548
64.156,-2.506,8.64,1.529
64.242,-1.368,8.797,1.803
64.328,-1.329,9.778,0.391
64.414,-2.663,13.073,0.784
64.5,-3.055,13.387,-3.296
64.586,1.456,11.308,-1.06
64.672,-0.192,8.484,0.391
64.758,-0.702,8.13,1.921
64.844,0.24,6.718,3.333
64.93,0.161,9.111,2.706
65.016,-0.741,12.955,8.315
65.102,2.358,12.21,1.921
65.188,-0.505,9.033,-1.139
65.274,0.593,8.64,0.47
65.36,-0.27,8.876,0.784
65.446,-1.839,9.229,1.568
65.532,-0.741,8.993,1.294
65.618,-2.467,9.464,1.137
65.704,-0.192,16.839,-2.511
65.79,0.083,10.209,-2.708
65.876,-0.035,9.15,-0.197
65.962,-0.858,7.934,0.038
66.048,0.475,6.679,1.843
66.134,-0.074,6.993,3.686
66.22,-0.231,13.073,3.019
66.306,0.985,9.817,2.353
66.392,3.927,7.621,-0.511
66.478,-1.721,10.131,-0.315
66.564,0.789,8.327,0.705
66.65,-1.212,8.366,1.097
66.736,-1.565,8.797,1.607
66.822,-0.78,10.602,1.097
66.908,-2.781,11.582,2.666
66.994,-0.309,15.034,-2.786
67.08,-0.231,12.132,-1.021
67.166,-1.055,8.562,0.038
67.252,0.122,8.17,1.254
67.338,-0.074,6.993,2.823
